Op	Mnem.	Oper. 1	Oper. 2	Oper. 3	Bytes	Description
75	TST	B	#imm16		3	Test B against immediate
76	TST	C	#imm16		3	Test C against immediate
77	TST	D	#imm16		3	Test D against immediate
78	CMP	A			1	Compare A with A
79	CMP	B			1	Compare A with B
7A	CMP	C			1	Compare A with C
7B	CMP	D			1	Compare A with D
7C	CMP	A	#imm16		3	Compare A with immediate
7D	CMP	B	#imm16		3	Compare B with immediate
7E	CMP	C	#imm16		3	Compare C with immediate
7F	CMP	D	#imm16		3	Compare D with immediate
80	AND	A			1	Logical AND A with A
81	AND	B			1	Logical AND A with B
82	AND	C			1	Logical AND A with C
83	AND	D			1	Logical AND A with D
84	AND	#imm8			2	Logical AND A with immediate
85	AND	#imm16			3	Logical AND A with immediate
86	AND	dst	src		2	Logical AND dst register with src register
87						
88	OR	A			1	Logical OR A with A
89	OR	B			1	Logical OR A with B
8A	OR	C			1	Logical OR A with C
8B	OR	D			1	Logical OR A with D
8C	OR	#imm8			2	Logical OR A with immediate
8D	OR	#imm16			3	Logical OR A with immediate
8E	OR	dst	src		2	Logical OR dst register with src register
8F						
90	XOR	A			1	Logical XOR A with A
91	XOR	B			1	Logical XOR A with B
92	XOR	C			1	Logical XOR A with C
93	XOR	D			1	Logical XOR A with D
94	XOR	#imm8			2	Logical XOR A with immediate
95	XOR	#imm16			3	Logical XOR A with immediate
96	XOR	dst	src		2	Logical XOR dst register with src register
97						
98	SHL	A			1	Shift A left by one
99	SHL	B			1	Shift B left by one
9A	SHL	C			1	Shift C left by one
9B	SHL	D			1	Shift D left by one
9C	SHL	#imm8			2	Shift A left by immediate
9D	SHL	#imm16			3	Shift A left by immediate
9E	SHL	dst	src		2	Shift dst register left by src register
9F						
A0	SHR	A			1	Logical shift A right by one
A1	SHR	B			1	Logical shift B right by one
A2	SHR	C			1	Logical shift C right by one
A3	SHR	D			1	Logical shift D right by one
A4	SHR	#imm8			2	Logical shift A right by immediate
A5	SHR	#imm16			3	Logical shift A right by immediate
A6	SHR	dst	src		2	Logical shift dst register right by src register
A7						
A8	SAR	A			1	Arithmetic shift A right by one
A9	SAR	B			1	Arithmetic shift B right by one
AA	SAR	C			1	Arithmetic shift C right by one
AB	SAR	D			1	Arithmetic shift D right by one
AC	SAR	#imm8			2	Arithmetic shift A right by immediate
AD	SAR	#imm16			3	Arithmetic shift A right by immediate
AE	SAR	dst	src		2	Arithmetic shift dst register right by src register
AF						
B0	ROL	A			1	Rotate A left by one
B1	ROL	B			1	Rotate B left by one
B2	ROL	C			1	Rotate C left by one
B3	ROL	D			1	Rotate D left by one
B4	ROL	#imm8			2	Rotate A left by immediate
B5	ROL	#imm16			3	Rotate A left by immediate
B6	ROL	dst	src		2	Rotate dst register left by src register
B7						
B8	ROR	A			1	Rotate A right by one
B9	ROR	B			1	Rotate B right by one
BA	ROR	C			1	Rotate C right by one
BB	ROR	D			1	Rotate D right by one
BC	ROR	#imm8			2	Rotate A right by immediate
BD	ROR	#imm16			3	Rotate A right by immediate
BE	ROR	dst	src		2	Rotate dst register right by src register
BF						
C0	ADD	A			1	Add A to A
C1	ADD	B			1	Add B to A
C2	ADD	C			1	Add C to A
C3	ADD	D			1	Add D to A
C4	ADD	#imm8			2	Add immediate to A
C5	ADD	#imm16			3	Add immediate to A
C6	ADD	dst	src		2	Add src to dst register
C7						
C8	SUB	A			1	Subtract A from A
C9	SUB	B			1	Subtract B from A
CA	SUB	C			1	Subtract C from A
CB	SUB	D			1	Subtract D from A
CC	SUB	#imm8			2	Subtract immediate from A
CD	SUB	#imm16			3	Subtract immediate from A
CE	SUB	dst	src		2	Subtract src from dst register
CF						
D0	ADC	A			1	Add A plus carry to A
D1	ADC	B			1	Add B plus carry to A
D2	ADC	C			1	Add C plus carry to A
D3	ADC	D			1	Add D plus carry to A
D4	ADC	#imm8			2	Add immediate plus carry to A
D5	ADC	#imm16			3	Add immediate plus carry to A
D6	ADC	dst	src		2	Add src plus carry to dst register
D7						
D8	SBB	A			1	Subtract A plus borrow from A
D9	SBB	B			1	Subtract B plus borrow from A
DA	SBB	C			1	Subtract C plus borrow from A
DB	SBB	D			1	Subtract D plus borrow from A
DC	SBB	#imm8			2	Subtract immediate plus borrow from A
DD	SBB	#imm16			3	Subtract immediate plus borrow from A
DE	SBB	dst	src		2	Subtract src plus borrow from dst register
DF						
E0	MUL	A			1	Multiply A by A
E1	MUL	B			1	Multiply A by B
E2	MUL	C			1	Multiply A by C
E3	MUL	D			1	Multiply A by D
E4	MUL	#imm8			2	Multiply A by immediate
E5	MUL	#imm16			3	Multiply A by immediate
E6	MUL	dst	src		2	Multiply dst register by src register
E7						
E8	MULH	A			1	High-word multiply A by A
E9	MULH	B			1	High-word multiply A by B
EA	MULH	C			1	High-word multiply A by C
EB	MULH	D			1	High-word multiply A by D
EC	MULH	#imm8			2	High-word multiply A by immediate
ED	MULH	#imm16			3	High-word multiply A by immediate
EE	MULH	dst	src		2	High-word multiply dst register by src register
EF						
F0	DIV	A			1	Divide A by A
F1	DIV	B			1	Divide A by B
F2	DIV	C			1	Divide A by C
F3	DIV	D			1	Divide A by D
F4	DIV	#imm8			2	Divide A by immediate
F5	DIV	#imm16			3	Divide A by immediate
F6	DIV	dst	src		2	Divide dst register by src register
F7						
F8	MOD	A			1	Modulo A by A
F9	MOD	B			1	Modulo A by B
FA	MOD	C			1	Modulo A by C
FB	MOD	D			1	Modulo A by D
FC	MOD	#imm8			2	Modulo A by immediate
FD	MOD	#imm16			3	Modulo A by immediate
FE	MOD	dst	src		2	Modulo dst register by src register
FF						
